18:11:20 system        | socketio.1 started (pid=37299)
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /app/home HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/css/desk.bundle.EELUFMJO.css HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/css/report.bundle.FHXXEFMB.css HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/list.bundle.OHB7B3O3.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/libs.bundle.TIV7ZGVY.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/form.bundle.BXC2RXF7.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/erpnext/dist/css/erpnext.bundle.3GKYTN3I.css HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/desk.bundle.TOMJO2WU.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/controls.bundle.NNTI4RUE.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/report.bundle.6DS2AGZ4.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/telemetry.bundle.LKEZCADB.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/billing.bundle.TQHLK7UT.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/erpnext/dist/js/erpnext.bundle.DALWDP7V.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/icons/timeless/icons.svg?v=1756644166.0754478 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/icons/espresso/icons.svg?v=1756644166.0754478 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "[33mGET /assets/posawesome/dist/js/posawesome.css HTTP/1.1[0m" 404 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "[33mGET /assets/posawesome/dist/js/posawesome.umd.js HTTP/1.1[0m" 404 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/css/website.bundle.2GDVLCFW.css HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/erpnext/dist/css/erpnext-web.bundle.HWFNYTTS.css HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/erpnext/dist/js/erpnext-web.bundle.J4A2DQB4.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/frappe-web.bundle.GLSTGT62.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/dist/js/file_uploader.bundle.PFKHLXZE.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /website_script.js HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/sounds/email.mp3 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/sounds/delete.mp3 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/sounds/submit.mp3 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/sounds/cancel.mp3 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/sounds/click.mp3 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/sounds/error.mp3 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/sounds/alert.mp3 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/erpnext/sounds/incoming-call.mp3 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/erpnext/sounds/call-disconnect.mp3 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/images/ui-states/notification-empty-state.svg HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /api/method/frappe.realtime.get_user_info?sid=cc6a10e55f8692d1fb2a232a565c04600bb7afce31590d5fee8454cc HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "POST /api/method/frappe.desk.doctype.notification_log.notification_log.get_notification_logs HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /api/method/frappe.desk.doctype.event.event.get_events?start=2025-08-31&end=2025-08-31&_=1756644169527 HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "GET /assets/frappe/images/ui-states/event-empty-state.svg HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "POST /api/method/frappe.desk.desktop.get_workspace_sidebar_items HTTP/1.1" 200 -
18:12:49 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:49] "POST /api/method/frappe.desk.desktop.get_desktop_page HTTP/1.1" 200 -
18:12:50 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:50] "GET /assets/frappe/dist/js/video_player.bundle.DUYYLSFO.js HTTP/1.1" 200 -
18:12:51 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:51] "POST /api/method/frappe.desk.desktop.get_desktop_page HTTP/1.1" 200 -
18:12:52 web.1         | 127.0.0.1 - - [31/Aug/2025 18:12:52] "POST /api/method/frappe.desk.desk_page.getpage HTTP/1.1" 200 -
18:13:00 web.1         | 127.0.0.1 - - [31/Aug/2025 18:13:00] "POST /api/method/frappe.desk.doctype.route_history.route_history.deferred_insert HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /app/posapp HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /assets/posawesome/dist/js/posawesome.css HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /assets/posawesome/dist/js/posawesome.umd.js HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /assets/posawesome/dist/js/posapp/workers/itemWorker.js HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /assets/posawesome/dist/js/libs/dexie.min.js?v=1 HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /api/method/frappe.desk.doctype.event.event.get_events?start=2025-08-31&end=2025-08-31&_=1756644261171 HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/frappe.desk.doctype.notification_log.notification_log.get_notification_logs HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.utilities.get_current_user_language HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.utilities.get_database_usage HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /assets/posawesome/node_modules/vuetify/dist/vuetify.min.css HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /api/method/frappe.desk.reportview.get_list?fields=["name"]&filters={"is_group":0}&limit=1000&order_by=name&doctype=Customer%20Group&_=1756644261172 HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /assets/frappe/css/fonts/inter/Inter-Regular.woff2 HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /api/method/frappe.desk.reportview.get_list?fields=["name"]&filters={"is_group":0}&limit=5000&order_by=name&doctype=Territory&_=1756644261173 HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /api/method/frappe.desk.reportview.get_list?fields=["name"]&page_length=10&doctype=Gender&limit=20&_=1756644261174 HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "HEAD /assets/frappe/images/frappe-logo.png HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /api/method/frappe.realtime.get_user_info?sid=cc6a10e55f8692d1fb2a232a565c04600bb7afce31590d5fee8454cc HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "HEAD /app HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /api/method/frappe.client.get?doctype=POS%20Settings&_=1756644261175 HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.utils.get_active_pos_profile HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.items.get_items_groups HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.items.get_items_count HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.shifts.check_opening_shift HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.items.get_items_groups HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.invoices.get_price_list_currency HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.restaurant_orders.get_restaurant_order_types HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.restaurant_orders.get_available_tables HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.utilities.get_pos_profile_tax_inclusive HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /sw.js HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.utilities.get_server_usage HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.customers.get_customers_count HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.items.get_items_count HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /assets/posawesome/dist/js/offline/index.js HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.m_pesa.get_mpesa_mode_of_payment HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "GET /assets/posawesome/dist/js/libs/dexie.min.js HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.offers.get_offers HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.customers.get_customer_names HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.items.get_items HTTP/1.1" 200 -
18:14:21 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:21] "POST /api/method/posawesome.posawesome.api.items.get_items HTTP/1.1" 200 -
18:14:22 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:22] "POST /api/method/posawesome.posawesome.api.items.get_items_details HTTP/1.1" 200 -
18:14:22 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:22] "GET /app/posapp HTTP/1.1" 200 -
18:14:22 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:22] "HEAD / HTTP/1.1" 200 -
18:14:22 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:22] "GET /manifest.json HTTP/1.1" 200 -
18:14:22 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:22] "GET /offline.html HTTP/1.1" 200 -
18:14:22 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:22] "GET /website_script.js HTTP/1.1" 200 -
18:14:25 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:25] "POST /api/method/posawesome.posawesome.api.restaurant_orders.get_restaurant_orders HTTP/1.1" 200 -
18:14:25 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:25] "POST /api/method/posawesome.posawesome.api.restaurant_orders.get_restaurant_orders HTTP/1.1" 200 -
18:14:30 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:30] "POST /api/method/posawesome.posawesome.api.restaurant_orders.load_multiple_draft_orders_for_editing HTTP/1.1" 200 -
18:14:30 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:30] "POST /api/method/posawesome.posawesome.api.items.get_items_details HTTP/1.1" 200 -
18:14:30 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:30] "POST /api/method/posawesome.posawesome.api.customers.get_customer_info HTTP/1.1" 200 -
18:14:30 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:30] "POST /api/method/posawesome.posawesome.api.customer.get_customer_balance HTTP/1.1" 200 -
18:14:30 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:30] "GET /assets/frappe/css/fonts/inter/Inter-SemiBold.woff2 HTTP/1.1" 200 -
18:14:31 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:31] "POST /api/method/posawesome.posawesome.api.utilities.get_database_usage HTTP/1.1" 200 -
18:14:31 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:31] "POST /api/method/posawesome.posawesome.api.utilities.get_server_usage HTTP/1.1" 200 -
18:14:32 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:32] "POST /api/method/posawesome.posawesome.api.invoices.update_invoice HTTP/1.1" 200 -
18:14:32 web.1         | Fetching sales persons...
18:14:32 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:32] "POST /api/method/posawesome.posawesome.api.customers.get_customer_addresses HTTP/1.1" 200 -
18:14:32 web.1         | Found 1 sales persons: [{"name": "Sales Team", "sales_person_name": "Sales Team"}]
18:14:32 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:32] "POST /api/method/posawesome.posawesome.api.utilities.get_sales_person_names HTTP/1.1" 200 -
18:14:36 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:36] "HEAD /assets/frappe/images/frappe-logo.png HTTP/1.1" 200 -
18:14:36 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:36] "HEAD /app HTTP/1.1" 200 -
18:14:36 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:36] "HEAD / HTTP/1.1" 200 -
18:14:41 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:41] "POST /api/method/posawesome.posawesome.api.utilities.get_database_usage HTTP/1.1" 200 -
18:14:41 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:41] "POST /api/method/posawesome.posawesome.api.utilities.get_server_usage HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/erpnext.accounts.utils.get_fiscal_year HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/frappe.desk.doctype.notification_log.notification_log.get_notification_logs HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "GET /api/method/frappe.desk.doctype.event.event.get_events?start=2025-08-31&end=2025-08-31&_=1756644287438 HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "POST /api/method/posawesome.posawesome.api.utilities.get_database_usage HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "GET /api/method/frappe.desk.reportview.get_list?fields=["name"]&filters={"is_group":0}&limit=5000&order_by=name&doctype=Territory&_=1756644287440 HTTP/1.1" 200 -
18:14:47 web.1         | 127.0.0.1 - - [31/Aug/2025 18:14:47] "GET /api/method/frappe.desk.reportview.get_list?fields=["name"]&page_length=10&doctype=Gender&limit=20&_=1756644287441 HTTP/1.1" 200 -
